EB/L8/bs-LAL/RDG/b-PB/L9/b
EB/L7|L8|R8/s-EB/L8/b-lal/LDG/b-PB/R1/b
EB/L6|L7|L8/s-EB/L7/b-LAL/RVG/b-PB/L8/b
EB/L5|L6|L7/s-EB/L6/b-lal/LVG/b-PB/R2/b
EB/L4|L5|L6/s-EB/L5/b-LAL/RDG/b-PB/L7/b
EB/L3|L4|L5/s-EB/L4/b-lal/LDG/b-PB/R3/b
EB/L2|L3|L4/s-EB/L3/b-LAL/RVG/b-PB/L6/b
EB/L1|L2|L3/s-EB/L2/b-lal/LVG/b-PB/R4/b
EB/L1|L2|R1/s-EB/L1/b-LAL/RDG/b-PB/L5/b
EB/R1|R2|L1/s-EB/R1/b-lal/LDG/b-PB/R5/b
EB/R1|R2|R3/s-EB/R2/b-LAL/RVG/b-PB/L4/b
EB/R2|R3|R4/s-EB/R3/b-lal/LVG/b-PB/R6/b
EB/R3|R4|R5/s-EB/R4/b-LAL/RDG/b-PB/L3/b
EB/R4|R5|R6/s-EB/R5/b-lal/LDG/b-PB/R7/b
EB/R5|R6|R7/s-EB/R6/b-LAL/RVG/b-PB/L2/b
EB/R6|R7|R8/s-EB/R7/b-lal/LVG/b-PB/R8/b
EB/R7|R8|L8/s-EB/R8/b-LAL/RDG/b-PB/L1/b
EB/R8/bs-lal/LDG/b-PB/R9/b
